GPU Utilization Monitor - Press Ctrl+C to stop
============================================================
Time     GPU%   Mem Used   Mem Total  Temp   Power   
   804.9    2.0        879       8192   43.0     67.7
   806.7    0.0        879       8192   43.0     67.6
   808.5    0.0        879       8192   43.0     67.4
   810.3    2.0        879       8192   43.0     67.5
   812.0    2.0        879       8192   43.0     67.5
   813.8    2.0        879       8192   43.0     67.7
   815.5    1.0        879       8192   43.0     67.7
   817.3    2.0        879       8192   43.0     67.6
   819.1    3.0        880       8192   43.0     67.6
   820.9    4.0        879       8192   43.0     67.7
   822.8    3.0        880       8192   43.0     67.8
   824.6    2.0        880       8192   43.0     67.6
   826.4    2.0        865       8192   43.0     67.6
   828.4    5.0        864       8192   43.0     67.7
   830.3    5.0        860       8192   43.0     67.8
   832.0    2.0        864       8192   43.0     67.6
   833.8    1.0        864       8192   43.0     67.5
   835.5    1.0        864       8192   43.0     67.3
   837.3    5.0        864       8192   43.0     67.4
   839.1    2.0        864       8192   43.0     67.4
   840.8    2.0        864       8192   43.0     67.2
   842.5    1.0        864       8192   43.0     67.1
   844.3    1.0        864       8192   43.0     66.9
   846.1    1.0        864       8192   43.0     66.5
   847.8    1.0        864       8192   43.0     66.7
   849.6    1.0        864       8192   43.0     66.5
   851.4    2.0        833       8192   43.0     66.8
   853.1    2.0        831       8192   44.0     66.6
   854.9    1.0        831       8192   44.0     63.8
   856.6    0.0        829       8192   44.0     63.6
   858.4    0.0        829       8192   44.0     63.9
   860.1    1.0        828       8192   44.0     64.0
   861.9    1.0        834       8192   44.0     64.0
   863.6    0.0        835       8192   45.0     64.0
   865.5    1.0        838       8192   45.0     64.2
   867.2    1.0        846       8192   45.0     64.1
   869.0    3.0        834       8192   45.0     64.3
   870.7    0.0        834       8192   45.0     64.2
   872.5    5.0        830       8192   45.0     64.8
   874.3    5.0        847       8192   46.0     69.3
   876.1    4.0        842       8192   46.0     67.9
   877.9    0.0        840       8192   46.0     67.4
   879.6    4.0        825       8192   46.0     67.9
   881.4    4.0        825       8192   46.0     68.3
   883.2    5.0        825       8192   46.0     68.8
   885.0    5.0        833       8192   46.0     69.2
   886.9    1.0        833       8192   46.0     69.3
   888.6    2.0        833       8192   46.0     69.0
   890.4    4.0        833       8192   46.0     68.9
   892.3    3.0        825       8192   46.0     69.0
   894.1    0.0        826       8192   46.0     68.5
   895.8    0.0        826       8192   46.0     68.0
   897.5    0.0        825       8192   46.0     68.1
   899.3    1.0        825       8192   46.0     68.1
   901.1    5.0        819       8192   45.0     68.2
   903.0    2.0        825       8192   45.0     68.5
   904.8    5.0        821       8192   45.0     68.3
   906.6    6.0        820       8192   45.0     68.5
   908.4    0.0        820       8192   45.0     68.0
   910.2    1.0        820       8192   45.0     68.3
   912.1    2.0        820       8192   45.0     68.6
   913.9    4.0        823       8192   45.0     68.6
   915.8    5.0        823       8192   45.0     68.6
   917.6    4.0        820       8192   45.0     68.6
   919.4    5.0        820       8192   45.0     68.5
   921.3    5.0        820       8192   45.0     68.5
   923.2    5.0        831       8192   45.0     68.5
   925.1    4.0        832       8192   45.0     68.5
   927.0    4.0        830       8192   45.0     68.4
   928.9    4.0        829       8192   45.0     68.5
   930.8    4.0        820       8192   45.0     68.3
   932.7    4.0        820       8192   45.0     68.4
   934.6    5.0        820       8192   45.0     68.3
   936.4    2.0        820       8192   45.0     68.1
   938.2    2.0        842       8192   45.0     68.0
   940.0    6.0        832       8192   45.0     68.1
   941.8    0.0        832       8192   45.0     67.9
   943.6    5.0        827       8192   45.0     68.3
   945.5    5.0        836       8192   45.0     68.5
   947.3    4.0        845       8192   45.0     68.2
   949.1    4.0        845       8192   45.0     68.6
   950.9    2.0        843       8192   45.0     68.3
   952.7    5.0        840       8192   45.0     68.7
   954.4    1.0        840       8192   45.0     68.1
   956.3    3.0        843       8192   45.0     68.1
